Address,Interruption,Scheduled Date,Impact
"ASTORIA - Building 07  3-04 27TH AVENUE  ASTORIA, NY 11102",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  148138
"BREVOORT - Entire Development  292 RALPH AVENUE  BROOKLYN, NY 11233",Heat  Hot Water,03/03/2020 8:00 AM,"BuildingsUnitsResidents  148961,823"
"CONEY ISLAND I (SITE 1B) - Entire Development  2007 SURF AVENUE  BROOKLYN, NY 11224",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1193498
"CYPRESS HILLS - Building 05  1200 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/09/2020 10:00 AM,BuildingsUnitsResidents  198226
"CYPRESS HILLS - Building 04  1250 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/02/2020 10:00 AM,BuildingsUnitsResidents  198195
"CYPRESS HILLS - Building 06  345 FOUNTAIN AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/05/2020 10:00 AM,BuildingsUnitsResidents  194222
"DOUGLASS I - Building 12  860 COLUMBUS AVENUE  NEW YORK, NY 10025",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1160329
"DOUGLASS II - Building 13  140 WEST 104TH STREET  NEW YORK, NY 10025",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1136287
"DOUGLASS II - Building 01  840 COLUMBUS AVENUE  NEW YORK, NY 10025",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1160323
"DOUGLASS II - Building 15  875 AMSTERDAM AVENUE  NEW YORK, NY 10025",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  196199
"DOUGLASS II - Building 14  865 AMSTERDAM AVENUE  NEW YORK, NY 10025",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1136301
"JEFFERSON - Building 07  2185 1ST AVENUE  NEW YORK, NY 10029",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  154168
"LA GUARDIA ADDITION - Entire Development  282 CHERRY STREET  NEW YORK, NY 10002",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1150189
"LAFAYETTE - Building 07  433 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Heat,03/02/2020 9:00 AM,BuildingsUnitsResidents  1156449
"RIIS II - Building 15  749 FDR DRIVE  NEW YORK, NY 10009",Heat,03/02/2020 10:00 AM,BuildingsUnitsResidents  1124238
