,Address,Interruption,Scheduled Date,Impact
0,"ASTORIA - Building 07  3-04 27TH AVENUE  ASTORIA, NY 11102",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  148138
1,"CYPRESS HILLS - Building 05  1200 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/09/2020 10:00 AM,BuildingsUnitsResidents  198226
2,"CYPRESS HILLS - Building 04  1250 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/02/2020 10:00 AM,BuildingsUnitsResidents  198195
3,"CYPRESS HILLS - Building 06  345 FOUNTAIN AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/05/2020 10:00 AM,BuildingsUnitsResidents  194222
4,"EAST RIVER - Building 07  433 EAST 102ND STREET  NEW YORK, NY 10029",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  1120233
5,"GARVEY (GROUP A) - Building 03  1400 EAST NEW YORK AVENUE  BROOKLYN, NY 11212",Heat,02/26/2020 10:00 AM,BuildingsUnitsResidents  1117351
6,"HABER - Building 01  3058 WEST 24TH STREET  BROOKLYN, NY 11224",Water,02/27/2020 7:30 AM,BuildingsUnitsResidents  1128141
7,"O'DWYER GARDENS - Building 02  3309 SURF AVENUE  BROOKLYN, NY 11224",Heat,02/27/2020 9:00 AM,BuildingsUnitsResidents  187126
8,"PATTERSON - Building 12  325 EAST 143RD STREET  BRONX, NY 10451",Heat,02/27/2020 8:00 AM,BuildingsUnitsResidents  1208435
9,"RED HOOK EAST - Building 26  110 WEST 9TH STREET  BROOKLYN, NY 11231",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  100
10,"RED HOOK EAST - Building 27  120 WEST 9TH STREET  BROOKLYN, NY 11231",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  100
11,"RED HOOK EAST - Building 01  604 CLINTON STREET  BROOKLYN, NY 11231",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  1114253
12,"RED HOOK EAST - Building 03  624 CLINTON STREET  BROOKLYN, NY 11231",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  1120223
13,"RED HOOK EAST - Building 04  92 CENTRE MALL  BROOKLYN, NY 11231",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  196181
14,"RED HOOK EAST - Building 02  93 CENTRE MALL  BROOKLYN, NY 11231",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  196194
15,"RIIS II - Building 18  90 AVENUE D  NEW YORK, NY 10009",Heat  Hot Water,02/26/2020 9:00 AM,BuildingsUnitsResidents  1124249
16,"TOMPKINS - Entire Development  65 TOMPKINS AVENUE  BROOKLYN, NY 11206",Water,02/27/2020 10:00 AM,"BuildingsUnitsResidents  91,0462,788"
